interview__key,aggree,date,Q1,Q2,Q3C,Q4,Q5,Q6,Q6_oth,Q7,Q8,Q9,Q10,Q11A,Q11B,B1,B2,B3,B3_oth,B4,B4_oth,B5,B6A,B6B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C16_oth,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E4_1,E5,E6,E7,E8,E9,E10,E11__1,E11__2,E11__3,E11__4,E11__5,E11__6,E11_oth,E12,E13,E14,E15,E16A,E16B,E17,E18,E19,E20,E21,E22A,E22B,E23,E24,E25,E26,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38__0,E38__1,E38__2,E38__3,E38__4,E39__0,E39__1,E39__2,E39__3,E39__4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51_m,E51_f,E52,E53,E53_1,E54,F1,F2,F3,F4,F5,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29
39-09-64-79,Yes,17/09/ 2014,Natural Resources Expert,Sidama,Hawassa,Natural Resource,Senior offic,Employed Ful,,8,1,1,6,14,7,34,Male,Married,,University d,,5600,2,1,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agr,Disagree,Disagree,Disagree,Disagree,Male,Very unsatis,,To a moderat,To a limited,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a moderat,Yes,Strongly agr,No,Yes,no,Don't know,Don't know,Don't know,No,No,To some exte,,,,,,,,No,No,No,No,7,1,Don't Know,No,No,,Don't Know,,,To a limited,No,To a limited,To a moderat,To a great e,Don't know,Don't Know,,To a great e,Don't Know,Don't Know,To a moderat,To a great e,No,,,,,,,,,,,To a limited,To a limited,To a limited,To a limited,Don't know,Don't know,Don't know,Don't know,To a limited,Don't Know,Don't know,90,10,No,Some, ,Don't know,Don't know,To a limited,Don't know,To a limited,To a limited,Don't know,To a limited,To a limited,Not at all,To a limited,Don't know,To a limited,Don't know,To a limited,To a limited,Don't know,Don't know,Don't know,To a limited,To a limited,Don't know,To a limited,To a limited,To a limited,To a limited,To a limited,Not at all,Not at all,Don't know,To a limited,To a limited,Not at all,Not at all,To a limited
57-84-58-74,Yes,17/09/ 2014,Not Answered,Sidama,Hawassa,Not Answered,Middle level,Employed Ful,,12,3,2,5,4,10,32,Male,Married,,College dipl,,4032,2,0,Disagree,Strongly dis,Agree,Strongly agr,Strongly agr,Disagree,Strongly dis,Disagree,Strongly dis,Disagree,Disagree,Strongly dis,Agree,Agree,Male,Somewhat sat,,To a limited,To a limited,To a limited,To a limited,To a limited,To a moderat,To a great e,To a moderat,To a moderat,To a moderat,To a great e,Yes,Agree,Yes,No, ,To a moderat,To a moderat,To a moderat,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,Yes,No,Yes,9,3,Yes,Yes,Yes,Don't Know,Yes,0,4,Not at all,No,To a limited,To a moderat,To a great e,To a great e,No,,To a great e,No,Yes,To a great e,To a great e,No,,,,,,,,,,,To a moderat,To a limited,To a moderat,To a great e,To a great e,To a great e,To a moderat,To a limited,To a moderat,Yes,To a moderat,75,25,Don't Know,No, ,To a moderat,To a moderat,To a great e,To a moderat,To a great e,To a moderat,To a moderat,Don't know,To a moderat,To the fulle,Don't know,Don't know,To a great e,To a moderat,To a moderat,To a great e,To a moderat,To a great e,To a moderat,To a moderat,To a great e,Not at all,To a limited,To the fulle,Don't know,Don't know,To a limited,To a limited,To a limited,Don't know,To a limited,To a moderat,To a moderat,To a moderat,Don't know
02-75-88-56,Yes,16/09/ 2014,Baying Team Leader,Sidama,Hawassa,Bay Team Leader,Middle level,Employed Ful,,4,2,2,2,4,0,46,Male,Married,,University d,,7290,3,5,Strongly dis,Strongly dis,Strongly dis,Disagree,Disagree,Strongly dis,Disagree,Strongly agr,Strongly dis,Disagree,Strongly dis,Disagree,Strongly dis,Disagree,Male,Satisfied,,To a moderat,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To a great e,To the fulle,To the fulle,Yes,Agree,No,No, ,To the fulle,To the fulle,To a great e,No,No,To some exte,,,,,,,,No,No,No,Yes,3,2,Don't Know,No,Yes,Yes,Yes,0,4,Don't know,Don't Know,To a moderat,To a great e,To a great e,To a great e,Don't Know,,To a great e,Don't Know,No,To a great e,To the fulle,No,,,,,,,,,,,To a moderat,Don't know,To a moderat,Don't know,Don't know,To a moderat,To a moderat,To a limited,To a limited,Don't Know,To a moderat,90,10,No,Some, ,Don't know,Don't know,Don't know,Don't know,To a moderat,To the fulle,To a moderat,To a moderat,To a great e,To the fulle,To a moderat,To a moderat,To a moderat,Don't know,To a great e,To a great e,Don't know,Don't know,Don't know,To a moderat,To a great e,To a moderat,To a moderat,Don't know,To a limited,To a limited,To a moderat,To a great e,To a great e,To a moderat,To a limited,To a limited,To a limited,To a great e,To a great e
76-88-89-59,Yes,16/09/ 2014,Not Answered,Sidama,Hawassa,Not Answered,Junior Profe,Employed Ful,,5,2,1,1,2,9,30,Male,Married,,University d,,6700,2,0,Disagree,Disagree,Strongly dis,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Male,Somewhat sat,,Not at all,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a moderat,To a limited,Not at all,Not at all,Yes,Agree,Yes,No, ,To a limited,To a moderat,To a moderat,No,No,No,,,,,,,,Yes,Yes,No,Yes,3,2,No,No,Yes,Don't Know,Yes,0,3,To a great e,No,To a moderat,To a limited,To a great e,To a great e,No,,To the fulle,No,No,To a great e,To a moderat,No,,,,,,,,,,,To a moderat,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,To a limited,No,To a moderat,90,10,No,No, ,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,Not at all,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a moderat,Not at all,To a limited,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a great e,To a great e,To a limited,To a limited,To a moderat,To a moderat,To a great e
12-00-05-69,Yes,17/09/ 2014,Secretary,Amhara,Bahir Dar,Procurement And Finance Directorate,Junior Profe,Employed Ful,,7,3,3,3,4,11,30,Male,Married,,University d,,4000,0,0,Disagree,Disagree,Strongly dis,Agree,Neutral,Disagree,Strongly dis,Disagree,Disagree,Disagree,Neutral,Strongly dis,Strongly dis,Agree,Male,Extremely sa,,To a limited,To the fulle,To a great e,To the fulle,To a limited,To a limited,To a great e,To a great e,To a moderat,To the fulle,To the fulle,No,Neutral,Yes,No, ,To a moderat,Don't know,Don't know,No,No,To some exte,,,,,,,,No,No,To some exte,Don't Know,4,3,Don't Know,No,Yes,Yes,Yes,0,4,To a limited,Yes,To a limited,Don't know,To a limited,To a limited,Don't Know,,To a great e,No,No,To a limited,To a moderat,Yes,the respondent doesn't write about formal culture,##N/A##,##N/A##,##N/A##,##N/A##,calling the boss by their title,##N/A##,##N/A##,##N/A##,##N/A##,Don't know,To a great e,To a moderat,To the fulle,To a moderat,To a moderat,Don't know,To a limited,To a limited,Don't Know,To a limited,75,25,No,Some, ,Don't know,Don't know,To a limited,Don't know,To the fulle,To a limited,Not at all,To a limited,Don't know,To the fulle,Don't know,To a limited,To a moderat,Don't know,To a moderat,Not at all,Not at all,Don't know,Not at all,To a moderat,To the fulle,Don't know,Don't know,To a moderat,To a moderat,To a moderat,To a great e,To a great e,To a limited,To a limited,Don't know,To a limited,To a limited,To a limited,To a moderat
22-19-64-59,Yes,18/09/ 2014,Not Answered,Amhara,Bahir Dar,Internal Audit Directorate,Middle level,Employed Ful,,7,3,3,3,36,6,57,Male,Married,,University d,,Refused,2,2,Agree,Strongly agr,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Male,Satisfied,,To a moderat,To a great e,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To a great e,To the fulle,To the fulle,To the fulle,Yes,Agree,Yes,No, ,To a moderat,To a moderat,Don't know,No,No,To some exte,,,,,,,,No,No,To some exte,Yes,4,3,Don't Know,No,Yes,Yes,Yes,0,4,To a moderat,Don't Know,To a moderat,Don't know,To a moderat,To a moderat,Don't Know,,To a moderat,Don't Know,Don't Know,To a moderat,To the fulle,No,,,,,,,,,,,To a moderat,Don't know,To a great e,Don't know,Don't know,To a moderat,To a moderat,To a moderat,To a moderat,Don't Know,To a moderat,79,21,Yes,Some, ,Don't know,Don't know,To a limited,To a limited,To a moderat,To a moderat,Not at all,To a limited,To a limited,To a limited,To a limited,To a moderat,To a limited,Don't know,To a limited,To a great e,To a moderat,To a limited,Don't know,To a great e,To the fulle,To a limited,To a great e,To a limited,To a limited,To a moderat,To a limited,To a limited,To a limited,To a limited,Don't know,Not at all,Don't know,Not at all,To a limited
45-52-81-12,Yes,17/09/ 2014,Directoret,Sidama,Hawassa,Agricultural Inputs Quality Quarantine.,Senior offic,Employed Ful,,4,0,0,3,10,2,33,Male,Married,,University d,,8000,2,0,Disagree,Strongly dis,Disagree,Strongly dis,Strongly dis,Disagree,Strongly dis,Strongly dis,Disagree,Strongly dis,Strongly dis,Disagree,Strongly dis,Strongly dis,Male,Extremely sa,,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To a limited,To the fulle,To the fulle,Yes,Agree,No,Yes,not answered,To a moderat,To a great e,To a moderat,No,No,To some exte,,,,,,,,No,No,No,Don't Know,2,0,Don't Know,No,No,,Yes,,,To a limited,Don't Know,To a moderat,To a limited,To a moderat,To a great e,Don't Know,,To a limited,No,No,Don't know,To the fulle,Yes,Not Answered,##N/A##,##N/A##,##N/A##,##N/A##,Nothing answered,##N/A##,##N/A##,##N/A##,##N/A##,To the fulle,To a moderat,To a limited,To a great e,To the fulle,To a great e,To a limited,To a limited,To a limited,Don't Know,To a limited,90,10,Don't Know,No, ,Don't know,Don't know,To a limited,Don't know,Don't know,Don't know,To a limited,Don't know,To a limited,To a moderat,To a moderat,To a limited,To a moderat,Don't know,Don't know,Don't know,Not at all,Not at all,Not at all,To a limited,To a great e,Don't know,To a limited,To a moderat,Not at all,Not at all,Not at all,To a limited,To a limited,To a limited,Not at all,To a limited,To a limited,To a limited,To a great e
05-40-03-58,Yes,26/09/ 2014,Accountant,Sidama,Hawassa,Finance Directorate,Middle level,Employed Ful,,13,8,8,5,6,0,32,Male,Married,,University d,,6100,1,1,Strongly agr,Agree,Strongly dis,Agree,Disagree,Strongly dis,Strongly dis,Strongly dis,Strongly dis,Disagree,Strongly agr,Disagree,Disagree,Disagree,Male,Somewhat sat,,To the fulle,Don't know,To a moderat,To a great e,To a great e,To a great e,To a great e,To a moderat,To a great e,To a great e,To a great e,No,Strongly agr,No,No, ,Don't know,Don't know,To a limited,Yes,No,Yes,No,Yes,No,No,No,No,,No,No,To some exte,Don't Know,5,8,Yes,No,Yes,No,Yes,0,4,Not at all,Don't Know,To a moderat,Don't know,To a limited,To a moderat,No,,To a moderat,No,No,Don't know,To a moderat,No,,,,,,,,,,,To a moderat,To a moderat,To a great e,To a limited,To a limited,To a moderat,To a great e,To a moderat,To a limited,No,Don't know,62,38,Don't Know,Some, ,To a limited,Don't know,Don't know,Don't know,To a great e,To a limited,To a great e,Not at all,Not at all,Don't know,To a moderat,Not at all,To the fulle,Not at all,Not at all,To a great e,To a limited,To a limited,Not at all,To a limited,To a limited,Don't know,To a great e,Don't know,To a great e,To a great e,To a great e,Don't know,Don't know,To a great e,Don't know,To a great e,Not at all,To a great e,To a limited
98-81-98-62,Yes,25/09/ 2014,Postman,Sidama,Hawassa,Common Service,Lower (less,Employed Ful,,12,7,7,5,10,0,,Female,Single,,College dipl,,Refused,,,Disagree,Strongly agr,Strongly agr,Strongly agr,Strongly agr,Disagree,Disagree,Strongly agr,Disagree,Strongly agr,Disagree,Agree,Strongly agr,Strongly agr,Male,Extremely sa,,To a moderat,Don't know,To a great e,To a great e,To a great e,Not at all,Not at all,Not at all,To a limited,To a limited,Not at all,No,Disagree,No,No, ,Don't know,To a moderat,To a moderat,No,No,To some exte,,,,,,,,No,No,To some exte,Don't Know,5,7,No,Don't Know,Yes,Don't Know,Yes,0,4,Don't know,Don't Know,To a moderat,To a moderat,To a limited,Don't know,No,,To a moderat,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a great e,To a moderat,To a great e,To a limited,To a great e,Don't know,To a limited,To a limited,To a limited,Don't Know,To a moderat,Don't know,Don't know,No,No, ,Don't know,Don't know,To a limited,To a limited,To the fulle,To a moderat,Don't know,To a moderat,Don't know,Don't know,Don't know,Don't know,Don't know,To a moderat,Don't know,To a great e,Don't know,Don't know,Not at all,Not at all,Not at all,Not at all,Not at all,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a limited,Not at all,To a limited,To a moderat,To a moderat
14-15-83-05,Yes,17/09/ 2014,Not Answered,Addis Ababa,Addis Abab,Expert,Senior offic,Employed Ful,,15,6,6,9,6,0,34,Male,Single,,University d,,Refused,,,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,,Neutral,Disagree,Disagree,Male,Satisfied,,To the fulle,To the fulle,To the fulle,To the fulle,To a great e,To the fulle,To the fulle,To the fulle,To the fulle,To a great e,To a great e,No,Agree,No,, ,To a great e,To a moderat,To a moderat,No,No,No,,,,,,,,No,No,To some exte,Don't Know,Don't Know.,Don't Know.,Don't Know,Don't Know,Don't Know,,Don't Know,,,To a great e,Don't Know,To the fulle,To the fulle,To a great e,To the fulle,Don't Know,,Don't know,Don't Know,Don't Know,To a great e,To a moderat,No,,,,,,,,,,,To the fulle,To the fulle,To a moderat,To a moderat,To a limited,To a moderat,To a limited,To the fulle,To the fulle,Don't Know,To the fulle,Don't know,Don't know,No,No, ,To the fulle,To a limited,To a moderat,To the fulle,To a great e,To a great e,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a great e,To a great e,To a great e,To a great e,To a limited,To a moderat,To a moderat,To the fulle,To the fulle,Don't know,To the fulle,To a great e,Don't know,Don't know,To the fulle,Don't know,Don't know,Don't know,To the fulle,Don't know,Don't know,Don't know,Don't know,To a great e
54-52-86-75,Yes,17/09/ 2014,Not Answered,Sidama,Hawassa,Agricultural Extension,Senior offic,Employed Ful,,6,2,2,3,2,3,37,Male,Married,,University d,,5700,1,0,Strongly agr,Strongly dis,Strongly agr,Agree,Agree,Agree,Strongly agr,Agree,Neutral,Neutral,Agree,Agree,Strongly dis,Strongly dis,Male,Very unsatis,,To a limited,To a limited,To a moderat,To a limited,To a great e,To a great e,To a limited,To a moderat,To a great e,To a moderat,To the fulle,Yes,Agree,Yes,No, ,To a great e,To a moderat,To a great e,Yes,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,5,1,Yes,No,Yes,Yes,Yes,0,4,To the fulle,No,To a great e,To a moderat,To a great e,To a moderat,Don't Know,,To a limited,No,No,To a moderat,To a limited,No,,,,,,,,,,,To a limited,To a moderat,To a limited,To a moderat,To a great e,To a limited,To a moderat,To a limited,To a moderat,Yes,To a limited,75,25,Yes,No, ,Don't know,Not at all,To a moderat,To a moderat,To a limited,To a moderat,Not at all,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a great e,To a moderat,Not at all,To a moderat,To a limited,Not at all,Not at all,To a limited,To a moderat,Not at all,To a moderat,Not at all,To a limited,To a moderat,To a great e,To a limited,To a limited,Not at all,To a great e,To a limited,To a limited,Not at all
87-86-21-64,Yes,17/09/ 2014,Procurement Expert,Amhara,Bahir Dar,Procurement And Finance Material Administrator Directorate,Middle level,Employed Ful,,10,8,8,2,28,0,50,Female,Married,,University d,,10150,2,2,Disagree,Strongly dis,Strongly dis,Agree,Agree,Strongly dis,Agree,Agree,Strongly agr,Strongly agr,Strongly agr,Disagree,Strongly agr,Strongly agr,Male,Very unsatis,,To a moderat,To the fulle,To the fulle,To a great e,To the fulle,To a great e,To a great e,Don't know,To a great e,Don't know,To the fulle,No,Strongly dis,No,No, ,To a moderat,To a moderat,To a moderat,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Don't Know,2,8,No,No,Yes,Yes,Yes,0,4,To a moderat,Don't Know,Don't know,Don't know,Don't know,To a limited,Don't Know,,Don't know,No,No,Don't know,To a moderat,No,,,,,,,,,,,To a limited,To a limited,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a limited,Don't know,No,Don't know,20,80,No,Some, ,Don't know,To a limited,To a limited,Don't know,Don't know,Not at all,Not at all,Not at all,Not at all,To a limited,Don't know,Don't know,Don't know,Not at all,Not at all,Don't know,Don't know,Don't know,Not at all,Not at all,Not at all,Don't know,To a limited,To a limited,Not at all,Not at all,To a limited,To a limited,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
72-69-60-58,Yes,16/09/ 2014,Agriculture Expert,Sidama,Hawassa,Lives To Root Crops Development,Senior offic,Employed Ful,,3,0,0,2,9,9,41,Male,Married,,University d,,7000,1,1,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly agr,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Male,Satisfied,,To a limited,To a limited,To a limited,To a limited,To the fulle,To a limited,To a moderat,To a moderat,To a great e,To a great e,To the fulle,Yes,Agree,Yes,No, ,To a moderat,To a great e,To a great e,Yes,Yes,To some exte,,,,,,,,No,No,No,Yes,3,0,Yes,No,No,,Yes,,,To a limited,Yes,To a limited,To a moderat,To a great e,To a moderat,Yes,To a limited,To a moderat,Don't Know,Don't Know,To a moderat,To a great e,No,,,,,,,,,,,To a limited,To a limited,To a moderat,To a great e,To a moderat,To a limited,To a limited,To a moderat,To a moderat,Yes,To a limited,75,25,Yes,Some, ,Don't know,To a moderat,To a limited,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a great e,Not at all,To a moderat,To a limited,Not at all,Not at all,To a limited,To a limited,To a moderat,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a moderat,To a limited,Not at all,To a limited,To a limited,To a limited,To a moderat,To a limited
84-70-20-43,Yes,22/09/ 2014,Expert,Addis Ababa,Addis Abab,Not Answered,Junior Profe,Employed Ful,,12,6,2,2,5,0,38,Female,Married,,University d,,7600,Refused,Refused,Disagree,Disagree,Neutral,Agree,Agree,Strongly dis,Disagree,Agree,Agree,Agree,Agree,Strongly agr,Agree,Agree,Male,Somewhat sat,,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a limited,To a limited,To a limited,To a limited,To a great e,Yes,Agree,Yes,Yes,not answered,To a limited,To a limited,To a limited,Yes,Yes,To some exte,,,,,,,,Yes,Yes,To some exte,No,Refused,Refused,Yes,Yes,No,,No,,,Not at all,Yes,To a great e,To the fulle,To a limited,To a limited,Yes,To a great e,To a great e,Don't Know,Don't Know,To a great e,Don't know,No,,,,,,,,,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,To a moderat,Don't know,Don't know,No,No, ,To a moderat,To a limited,To a limited,To a limited,To a limited,To a limited,To a limited,To a limited,To a limited,Not at all,Not at all,To a limited,To a moderat,To a limited,Don't know,Don't know,To the fulle,To the fulle,To the fulle,Don't know,Don't know,To a limited,To the fulle,To a limited,To the fulle,To the fulle,To a limited,To a limited,To the fulle,To a limited,To a limited,To a limited,To a limited,To a limited,To a limited
44-74-62-01,Yes,17/09/ 2014,Irrigation Experts,Sidama,Hawassa,Irrigation,Middle level,Employed Ful,,3,1,0,3,9,0,40,Male,Married,,University d,,6000,0,0,Disagree,Disagree,Strongly agr,Agree,Neutral,Strongly dis,Strongly dis,Strongly agr,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Male,Extremely sa,,Not at all,To a limited,To the fulle,To a great e,Don't know,Not at all,To a limited,Not at all,To a moderat,To a limited,To a great e,Yes,Agree,Yes,No, ,To a moderat,Don't know,Don't know,Yes,Yes,To some exte,,,,,,,,No,No,Yes,No,2,1,No,No,Yes,Don't Know,Yes,0,6,To a limited,No,To a great e,To the fulle,To a limited,To a moderat,No,,To a limited,No,Don't Know,To a limited,To a moderat,No,,,,,,,,,,,To a limited,To a limited,To a moderat,Don't know,To a great e,To a limited,To a limited,To a great e,To a limited,Don't Know,To a moderat,80,20,Don't Know,Some, ,Don't know,To a moderat,To a great e,To a great e,To a great e,To the fulle,To the fulle,To a moderat,To a limited,Don't know,Don't know,To the fulle,Don't know,Don't know,To a great e,To a great e,To the fulle,To a moderat,To a great e,To a moderat,To a moderat,To a great e,To a great e,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a great e,To the fulle,To a moderat,To the fulle,To the fulle,To the fulle,To a great e
30-87-65-03,Yes,16/09/ 2014,Extension Expert,Sidama,Hawassa,Extension,Senior offic,Employed Ful,,7,2,2,3,5,3,29,Male,Married,,University d,,9000,3,1,Strongly dis,Disagree,Disagree,Neutral,Disagree,Strongly dis,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Male,Satisfied,,To a limited,To a moderat,To a moderat,To a great e,Not at all,Not at all,To a limited,Not at all,To a limited,To the fulle,To the fulle,Yes,Agree,No,No, ,To a moderat,To a limited,To a limited,Yes,No,No,,,,,,,,No,No,Yes,Yes,5,2,No,Yes,Yes,No,Yes,0,4,To a great e,No,To a limited,To a limited,To a moderat,To the fulle,No,,To a moderat,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a great e,To a moderat,To a limited,To a moderat,To a great e,To a limited,To a moderat,To a limited,To a great e,No,To a moderat,90,10,No,Some, ,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a great e,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a moderat,Not at all,Not at all,To a limited,To a limited,Not at all,To a limited,To a limited,To a limited,Not at all,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a limited,To a limited,To a moderat,To a limited,To a limited,To a moderat,To a moderat
47-97-67-25,Yes,23/09/ 2014,Not Answered,Addis Ababa,Addis Abab,Expert,Senior offic,Employed Ful,,27,10,10,17,13,0,52,Male,Married,,University d,,6000,2,2,Disagree,Disagree,Disagree,Strongly dis,Disagree,Disagree,Strongly dis,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly dis,Disagree,Male,Somewhat sat,,To a great e,To a moderat,To a great e,To a great e,To a moderat,To a great e,To a great e,To a great e,To a moderat,To a great e,To the fulle,No,Disagree,No,No, ,To a great e,To a great e,To the fulle,Yes,No,No,,,,,,,,No,No,No,No,Don't Know.,Don't Know.,No,No,Don't Know,,No,,,To the fulle,Don't Know,To the fulle,To the fulle,To the fulle,To a great e,No,,To the fulle,No,No,To the fulle,To a great e,No,,,,,,,,,,,To the fulle,To the fulle,To the fulle,To the fulle,To a great e,To a great e,To a great e,To a moderat,To a great e,Don't Know,To a great e,Don't know,Don't know,No,No, ,To the fulle,To a moderat,To a great e,To a moderat,To a limited,Not at all,To the fulle,To a moderat,To a moderat,Not at all,Not at all,To a moderat,To a moderat,To a limited,To a great e,To a limited,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To the fulle,To the fulle,To a limited,Not at all,To the fulle,To a moderat,To a moderat,To a limited,To a limited,To a limited,Not at all,To a limited,To a limited,To a great e
60-55-21-84,Yes,22/09/ 2014,Expert,Amhara,Bahir Dar,Land Management Program Directorate,Senior offic,Researcher/e,,23,3,1,4,17,0,54,Male,Married,,University d,,19000,2,1,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Male,Somewhat sat,,Not at all,To a limited,To a moderat,To a moderat,To a limited,To the fulle,To the fulle,To a moderat,To a great e,To a moderat,To a moderat,No,Neutral,No,No, ,To a limited,To a limited,To a limited,No,No,To some exte,,,,,,,,No,No,To some exte,Yes,20,3,Don't Know,No,Yes,Yes,Yes,0,4,To a limited,Don't Know,To a limited,Don't know,Don't know,Don't know,Don't Know,,To a limited,Don't Know,Don't Know,Don't know,To a limited,No,,,,,,,,,,,To a limited,Don't know,Don't know,To a great e,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,87,13,Don't Know,Some, ,To a limited,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
07-86-18-68,Yes,16/09/ 2014,Agriculture Expert,Sidama,Hawassa,Ensset And Root Crop D.D,Middle level,Employed Ful,,6,1,0,3,5,5,40,Female,Married,,University d,,12000,3,2,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agr,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Male,Satisfied,,To a moderat,To a great e,To a great e,To a moderat,To a moderat,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a limited,Yes,Agree,Yes,No, ,To a moderat,To a moderat,To a moderat,No,Yes,No,,,,,,,,No,Yes,No,Yes,6,1,No,No,No,,Yes,,,To a limited,Yes,To a moderat,To a moderat,To a moderat,To a moderat,Don't Know,,To a great e,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a limited,To a moderat,To a moderat,To a great e,To a great e,To a limited,To a moderat,To a limited,To a limited,No,To a moderat,90,10,No,No, ,To a great e,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a moderat,To a limited,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a limited,To a limited,To a moderat
31-52-14-52,Yes,17/09/ 2014,Property Expert,Sidama,Hawassa,Properly Management,Middle level,Employed Ful,,3,0,0,3,2,0,28,Male,Single,,University d,,6000,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Male,Satisfied,,Not at all,To a great e,To a great e,To a moderat,To a great e,To a great e,To a great e,To a great e,To a moderat,To a great e,To a great e,Yes,Agree,No,No, ,To a limited,To a moderat,To a moderat,No,No,No,,,,,,,,No,Yes,Yes,Yes,3,0,No,No,Yes,Yes,Yes,0,6,To a limited,Yes,To a moderat,To a moderat,To a moderat,To a limited,Yes,To a great e,To a moderat,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a great e,To a great e,To a great e,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,No,To a moderat,90,10,Yes,Some, ,Don't know,Not at all,To a moderat,To a limited,To a great e,To a great e,To a moderat,To a limited,To a limited,Not at all,To a moderat,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,Not at all,Not at all,To a limited,To a moderat,To a moderat,To a great e,To a great e,Not at all,To a limited,To a moderat,To a limited,To a limited,To a limited,Not at all,Not at all,To a moderat,To a great e,To a great e,To a moderat
